ALDD2x	Aldh7a1	Aldh9a1	ALDH7A1	ALDH9A1
ACSm	Acss1	ACSS1
ACS	Acss2	ACSS2
ADSL1	Adsl	ADSL
ADSS	Adss	Adssl1	ADSS	ADSSL1
AMPD1	Ampd1	AMPD1
ARGN	Arg1	ARG1
ARGSL	Asl	ASL
ARGSS	Ass1	ASS1
ARGNm	Arg2	ARG2
ALASm	Alas1	ALAS1
PPBNGS	Alad	ALAD
HMBS	Hmbs	HMBS
UPP3S	Uros	UROS
UPPDC1	Urod	UROD
CPPPGO	Cpox	CPOX
PPPGOmB_mitoMap	Ppox	PPOX
FCLTm	Fech	FECH
HOXG	Hmox1	Hmox2	HMOX1	HMOX2
BILIRED	Blvrb	BLVRB
BILIRED2_mitoMap	Blvra	BLVRA
PCHOLPm_hs	Pld3	PLD3
GLYK	Gk	GK
GPAMm_hsB_mitoMap	Gpat2	GPAT2
AGPAT1B_mitoMap	Agpat5	AGPAT5
CDSm	Tamm41	TAMM41
PGPPTm	Pgs1	PGS1
PGPP_hsm_mitoMap	Ptpmt1	PTPMT1
CLS_hsm_mitoMap	Crls1	CRLS1
CLPN_mitoMap	Crls1	CRLS1
CYTK1m	Cmpk2	CMPK2
NDPK3m	Nme4	NME4
SPODMm	Sod1	Sod2	SOD1	SOD2
GTHP	Gpx2	GPX2
GTHPm	Gpx1	GPX1
GTHO	Gsr	GSR
GTHOm	Gsr	GSR
CITtamB	Slc25a1	SLC25A1
r0913	Slc25a1	SLC25A1
CITtbm	Slc25a1	SLC25A1
r0917	Slc25a1	SLC25A1
r0917b_mitoMap	Slc25a1	SLC25A1
PIt2mB_mitoMap	Slc25a3	SLC25A3
ATPtmB_mitoMap	Slc25a4	Slc25a5	SLC25A4	SLC25A5	SLC25A6
HtmB_mitoMap	Ucp2	Ucp3	ucp 1	UCP2	UCP3	UCP1
MALtm	Slc25a10
MALSO3tm	Slc25a10	SLC25A10
MALTSULtm	Slc25a10	SLC25A10
MALSO4tm	Slc25a10	SLC25A10
SUCCt2m	Slc25a10	SLC25A10
r0830	Slc25a10	SLC25A10
r0830B_mitoMap	Slc25a10	SLC25A10
r0829	Slc25a10	SLC25A10
SUCCt3m_mitoMap	Slc25a10	SLC25A10
COAtmB_mitoMap	Slc25a42	SLC25A42
COAtmC_mitoMap	Slc25a42	SLC25A42
GLUt2mB_mitoMap	Slc25a18	SLC25A18
ORNt4mB_mitoMap	Slc25a15	SLC25A15
r2398B_mitoMap	Slc25a15	SLC25A15
r2402B_mitoMap	Slc25a15	SLC25A15
LYStmB_mitoMap	Slc25a29	SLC25A29
ORNt3mB_mitoMap	Slc25a29	SLC25A29
ARGtmB_mitoMap	Slc25a29	SLC25A29
r1427	Slc25a29	SLC25A29
PYRt2m	Mpc1	Mpc2	MPC1	MPC2
ACACt2mB_mitoMap	Mpc1	Mpc2	MPC1	MPC2
FE2tm	Slc25a37	Slc25a28	SLC25A37	SLC25A28
PSFLIPm	Atp8a1	Atp8b2	Atp8b1	Atp8b4	Atp9a	Atp9b	Atp10a	Atp10d	Atp11a	Atp11b	Atp11c	Tmem30a	Tmem30b	ATP8A1	ATP8B1	ATP8B2	ATP8B4	ATP9A	ATP9B	ATP10A	ATP10D	ATP11A	ATP11B	ATP11C	TMEM30A	TMEM30B
PEFLIPm	Atp8a1	Atp8b2	Atp8b1	Atp8b4	Atp9a	Atp9b	Atp10a	Atp10d	Atp11a	Atp11b	Atp11c	Tmem30a	Tmem30b	ATP8A1	ATP8B1	ATP8B2	ATP8B4	ATP9A	ATP9B	ATP10A	ATP10D	ATP11A	ATP11B	ATP11C	TMEM30A	TMEM30B
