reaction_id	flux_value	classification	y_f	y_r	c_value
rxn05145_c	45.0	low	0.0	0.0	
rxn01872_c	-1.0	high	0.0	1.0	1.0607403865721794
rxn01301_c	-10.0	moderate	0.0	1.0	0.8150208892567992
rxn01643_c	-1.0	moderate	0.0	1.0	0.6478957997194335
rxn00248_c	11.0	high	1.0	0.0	1.0070494753585244
rxn08844_c	0.0	low	1.0	0.0	
rxn05385_c	0.0	low	1.0	0.0	
rxn00707_c	-3.0	low	0.0	0.0	
rxn00369_c	0.0	low	1.0	0.0	
rxn01637_c	-35.636364	moderate	0.0	1.0	0.622092919846324
rxn00566_c	234.63636	high	1.0	0.0	1.025955778056246
rxn00708_c	0.0	low	1.0	0.0	
rxn07433_c	0.0	low	1.0	0.0	
rxn01269_c	2.0	moderate	1.0	0.0	0.9422787830552546
rxn00392_c	0.0	low	1.0	0.0	
rxn00747_c	1.0	moderate	1.0	0.0	0.21017373894095348
rxn01334_c	0.0	moderate	0.0	0.0	0.28005639423492434
rxn00830_c	0.0	moderate	0.0	0.0	0.3834034901405525
rxn01108_c	1.0	high	1.0	0.0	1.0566126502594884
rxn05219_c	4.0	moderate	1.0	0.0	0.6742547558652063
rxn03406_c	0.0	moderate	0.0	0.0	0.72725114796525
rxn00029_c	0.0	low	1.0	0.0	
rxn00609_c	0.0	high	0.0	0.0	1.3131768074582804
rxn06673_c	0.0	low	1.0	0.0	
rxn12646_c	0.0	moderate	0.0	0.0	0.40293791449304434
rxn06777_c	0.0	high	0.0	0.0	1.3645114190594982
rxn03869_c	0.0	low	1.0	0.0	
rxn05256_c	1.0	high	1.0	0.0	1.1188071244522702
rxn05448_c	0.0	low	1.0	0.0	
rxn05446_c	0.0	low	1.0	0.0	
rxn02175_c	0.0	low	1.0	0.0	
rxn02835_c	0.0	low	1.0	0.0	
rxn02774_c	0.0				
rxn01675_c	0.0	high	0.0	0.0	1.0393942944941776
rxn08839_c	0.0	low	1.0	0.0	
rxn01575_c	0.0	moderate	0.0	0.0	0.11643367390752095
rxn01454_c	0.0	low	1.0	0.0	
rxn05150_c	0.0	low	1.0	0.0	
rxn10335_c	0.0				
rxn05398_c	0.0	moderate	0.0	0.0	0.11723386591098567
rxn01315_c	0.0				
rxn03240_c	0.0	low	1.0	0.0	
rxn09562_c	2.0	moderate	1.0	0.0	0.8527012222056509
rxn01501_c	0.0	moderate	0.0	0.0	0.05726438929636294
rxn00555_c	0.0	low	1.0	0.0	
rxn03080_c	0.0	moderate	0.0	0.0	0.11533572274255142
rxn10237_c	0.0	low	1.0	0.0	
rxn10011_c	-1.0	moderate	0.0	1.0	0.5276378124934911
rxn12644_c	0.0	moderate	0.0	0.0	0.40293791449304434
rxn00147_c	7.0				
rxn00737_c	0.0	moderate	0.0	0.0	0.6261118320733925
rxn08843_c	0.0	low	1.0	0.0	
rxn01256_c	3.0	low	0.0	0.0	
rxn00213_c	1.0	moderate	1.0	0.0	0.542971308026965
rxn01629_c	0.0	low	1.0	0.0	
rxn00777_c	-1.0	low	0.0	0.0	
rxn05164_c	0.0	moderate	0.0	0.0	0.5811005947650799
rxn01740_c	-3.0				
rxn00190_c	1.0	high	1.0	0.0	1.0393862367974311
rxn05327_c	0.0	low	1.0	0.0	
rxn01444_c	0.0	low	1.0	0.0	
rxn05655_c	0.0	moderate	0.0	0.0	0.0772462869039078
rxn02314_c	0.0	low	1.0	0.0	
rxn08801_c	0.0	low	1.0	0.0	
rxn02275_c	0.0	low	1.0	0.0	
rxn00251_c	0.0	low	1.0	0.0	
rxn00139_c	0.0	low	1.0	0.0	
rxn00790_c	0.0	low	1.0	0.0	
rxn07976_c	0.0	moderate	0.0	0.0	0.11723386591098567
rxn00237_c	10.0	high	1.0	0.0	1.1253177243083452
rxn00463_c	1.0	moderate	1.0	0.0	0.8170763302387419
rxn01489_c	0.0	moderate	0.0	0.0	0.07520486913872058
rxn10342_c	0.0				
rxn08311_c	0.0	low	1.0	0.0	
rxn03175_c	0.0	low	1.0	0.0	
rxn10264_c	0.0	low	1.0	0.0	
rxn03421_c	0.0	low	1.0	0.0	
rxn10227_c	0.0	low	1.0	0.0	
rxn01146_c	0.0	high	0.0	0.0	1.006478319868326
rxn05336_c	0.0	low	1.0	0.0	
rxn09210_c	0.0	low	1.0	0.0	
rxn00285_c	-415.27273	high	0.0	1.0	1.0134162609959811
rxn00182_c	0.0	low	1.0	0.0	
rxn05567_c	0.0	moderate	0.0	0.0	0.0772462869039078
rxn01642_c	0.0	low	1.0	0.0	
rxn00132_c	2.0	low	0.0	0.0	
rxn01045_c	0.0	low	1.0	0.0	
rxn08893_c	0.0	low	1.0	0.0	
rxn06864_c	0.0	moderate	0.0	0.0	0.010780909556214292
rxn00712_c	0.0	low	1.0	0.0	
rxn08615_c	0.0	low	1.0	0.0	
rxn08815_c	0.0	low	1.0	0.0	
rxn00126_c	0.0	high	0.0	0.0	1.0023686722853544
rxn01518_c	0.0	moderate	0.0	0.0	0.05935560056324586
rxn12844_c	234.63636	moderate	1.0	0.0	0.40293791449304434
rxn08798_c	0.0	low	1.0	0.0	
rxn08119_c	0.0	moderate	0.0	0.0	0.06091532386978562
rxn08306_c	0.0	low	1.0	0.0	
rxn08821_c	0.0	low	1.0	0.0	
rxn00206_c	0.0	high	0.0	0.0	1.0492697074716535
rxn05381_c	0.0	moderate	0.0	0.0	0.11723386591098567
rxn01871_c	-871.18182	low	0.0	0.0	
rxn05340_c	0.0	low	1.0	0.0	
rxn02143_c	0.0	moderate	0.0	0.0	0.7080632937215048
rxn00405_c	0.0	high	0.0	0.0	1.0490703260432537
rxn04704_c	0.0	high	0.0	0.0	1.2381585096959737
rxn00299_c	0.0	low	1.0	0.0	
rxn08546_c	0.0	low	1.0	0.0	
rxn00756_c	0.0	low	1.0	0.0	
rxn05389_c	0.0	low	1.0	0.0	
rxn05735_c	0.0	low	1.0	0.0	
rxn02484_c	0.0	moderate	0.0	0.0	0.12185189188994051
rxn01133_c	0.0	high	0.0	0.0	1.0659144570126586
rxn12639_c	0.0	moderate	0.0	0.0	0.39388368832818205
rxn03159_c	0.0	low	1.0	0.0	
rxn00875_c	2.0	moderate	1.0	0.0	0.5124047861592694
rxn01000_c	0.0	low	1.0	0.0	
rxn00647_c	0.0	low	1.0	0.0	
rxn03397_c	0.0	high	0.0	0.0	1.021121908947215
rxn08120_c	0.0	moderate	0.0	0.0	0.06091532386978562
rxn00363_c	0.0	low	1.0	0.0	
rxn08128_c	0.0	low	1.0	0.0	
rxn05188_c	0.0	low	1.0	0.0	
rxn01670_c	0.0	low	1.0	0.0	
rxn12643_c	0.0	moderate	0.0	0.0	0.40293791449304434
rxn05183_c	0.0	high	0.0	0.0	1.1559856432123539
rxn01706_c	0.0	low	1.0	0.0	
rxn03055_c	0.0	low	1.0	0.0	
rxn09359_c	0.0	low	1.0	0.0	
rxn11703_c	0.0	high	0.0	0.0	1.064641173873817
rxn01300_c	0.0	low	1.0	0.0	
rxn00601_c	0.0	moderate	0.0	0.0	0.35326163728089927
