reaction_id	flux_value	classification	y_f	y_r
rxn05465_c	-34.187521	low	0.0	0.0
rxn12845_c	0.0	high	0.0	0.0
rxn08820_c	0.0	high	0.0	0.0
rxn05148_c	0.084849817	moderate		
rxn05380_c	0.0	high	0.0	0.0
rxn05347_c	0.0	low	1.0	0.0
rxn06077_c	43.428174	high	1.0	0.0
rxn08126_c	-2.0	moderate		
rxn02344_c	0.0	high	0.0	0.0
rxn03407_c	0.0	high	0.0	0.0
rxn08547_c	0.0	moderate		
rxn05732_c	-1.0	high	0.0	1.0
rxn01303_c	50.054247	low	0.0	0.0
rxn00113_c	1.0	high	1.0	0.0
rxn05023_c	0.0	low	1.0	0.0
rxn00297_c	0.0	low	1.0	0.0
rxn00137_c	0.084849817	low	0.0	0.0
rxn00745_c	-569.06238	moderate		
rxn06023_c	0.084849817	low	0.0	0.0
rxn00611_c	992.10807	moderate		
rxn07435_c	0.0	high	0.0	0.0
rxn01678_c	-1.0	high	0.0	1.0
rxn02286_c	1.7011581	moderate		
rxn00872_c	133.15249	high	1.0	0.0
rxn00832_c	-13.451844	high	0.0	1.0
rxn00360_c	0.0	low	1.0	0.0
rxn01106_c	-841.05249	moderate		
rxn10193_c	0.0	low	1.0	0.0
rxn12640_c	0.0	high	0.0	0.0
rxn00690_c	27.073388	low	0.0	0.0
rxn00066_c	253.26321	high	1.0	0.0
rxn10012_c	1000.0	high	1.0	0.0
rxn09450_c	0.0	low	1.0	0.0
rxn00938_c	0.0	low	1.0	0.0
rxn04938_c	1000.0	high	1.0	0.0
rxn05115_c	13.451844	low	0.0	0.0
rxn00412_c	1.0	high	1.0	0.0
rxn01573_c	-982.35056	moderate		
rxn00650_c	1.0	high	1.0	0.0
rxn03167_c	0.25454945	high	0.0	0.0
rxn00640_c	0.0	high	0.0	0.0
rxn01103_c	0.0	low	1.0	0.0
rxn00515_c	1.0	high	1.0	0.0
rxn08846_c	0.0	high	0.0	0.0
rxn05397_c	0.0	high	0.0	0.0
rxn03005_c	0.0	low	1.0	0.0
rxn05012_c	0.0	moderate		
rxn01353_c	1.0	high	1.0	0.0
rxn10235_c	0.0	high	0.0	0.0
rxn12633_c	0.0	high	0.0	0.0
rxn00882_c	0.0	low	1.0	0.0
rxn03244_c	133.15249	high	1.0	0.0
rxn00552_c	0.0	low	1.0	0.0
rxn06723_c	-3.4023162	moderate		
rxn00313_c	0.0	moderate		
rxn02949_c	0.0	low	1.0	0.0
rxn00735_c	0.0	low	1.0	0.0
rxn00775_c	2.1757656	moderate		
rxn02680_c	-133.15249	high	0.0	1.0
rxn05405_c	0.0	high	0.0	0.0
rxn00804_c	1000.0	moderate		
rxn00196_c	0.0			
rxn00547_c	0.0	moderate		
rxn04750_c	0.0	high	0.0	0.0
rxn05619_c	0.0	low	1.0	0.0
rxn08020_c	0.0	low	1.0	0.0
rxn05325_c	0.0	moderate		
rxn11040_c	1.0	high	1.0	0.0
rxn05610_c	0.0	low	1.0	0.0
rxn08441_c	0.0	moderate		
rxn08803_c	0.0	high	0.0	0.0
rxn07879_c	0.0	moderate		
rxn02312_c	0.0	moderate		
rxn02895_c	13.536694	moderate		
rxn07295_c	0.0	low	1.0	0.0
rxn02934_c	0.0	low	1.0	0.0
rxn08089_c	0.0	low	1.0	0.0
rxn00189_c	1.0	high	1.0	0.0
rxn01508_c	-0.66666667	moderate		
rxn02508_c	2.415922	moderate		
rxn05442_c	0.0	moderate		
rxn00543_c	0.0	low	1.0	0.0
rxn01996_c	0.0	low	1.0	0.0
rxn10340_c	0.0			
rxn00420_c	-936.41227	low	0.0	0.0
rxn10253_c	0.0	low	1.0	0.0
rxn10207_c	0.0	moderate		
rxn10221_c	0.0	moderate		
rxn02792_c	0.0	moderate		
rxn14334_c	1.7011581	moderate		
rxn07979_c	0.0	low	1.0	0.0
rxn00993_c	-1.0	moderate		
rxn00469_c	1.0	moderate		
rxn02804_c	-141.65828	high	0.0	1.0
rxn05005_c	0.084849817	low	0.0	0.0
rxn10203_c	0.0	moderate		
rxn00048_c	0.16969963	high	0.0	0.0
rxn05231_c	1.0	high	1.0	0.0
rxn09200_c	0.0	high	0.0	0.0
rxn00283_c	-590.75478	moderate		
rxn05373_c	0.0	low	1.0	0.0
rxn00726_c	2.415922	low	0.0	0.0
rxn00184_c	-796.26209	moderate		
rxn00379_c	0.0	low	1.0	0.0
rxn01025_c	1.3333333	low	0.0	0.0
rxn08851_c	0.0	high	0.0	0.0
rxn05330_c	0.0	low	1.0	0.0
rxn02155_c	2.0	low	0.0	0.0
rxn02866_c	0.0	moderate		
rxn00304_c	0.0	moderate		
rxn08552_c	0.0	moderate		
rxn05170_c	0.0	low	1.0	0.0
rxn02475_c	0.16969963	moderate		
rxn05339_c	0.0	high	0.0	0.0
rxn05460_c	10.522575	low	0.0	0.0
rxn05484_c	0.0	low	1.0	0.0
rxn03108_c	0.084849817			
rxn10313_c	0.0	moderate		
rxn00675_c	0.0	moderate		
rxn01018_c	9.1090658	low	0.0	0.0
rxn00714_c	0.0	low	1.0	0.0
rxn08813_c	0.0	high	0.0	0.0
rxn05683_c	0.0	low	1.0	0.0
rxn00634_c	0.0	low	1.0	0.0
rxn00947_c	0.0	low	1.0	0.0
rxn03247_c	-133.15249	low	0.0	0.0
rxn10210_c	0.0	moderate		
rxn00278_c	567.23563	moderate		
rxn01476_c	2.0	low	0.0	0.0
rxn00205_c	1.0	high	1.0	0.0
rxn03146_c	3.4023162	high	1.0	0.0
rxn02789_c	0.0	low	1.0	0.0
rxn01370_c	0.0	moderate		
rxn00988_c	0.0	low	1.0	0.0
rxn00410_c	4.7255124	high	1.0	0.0
rxn01333_c	-4.0158816	high	0.0	1.0
rxn10257_c	0.0	low	1.0	0.0
rxn06586_c	0.0	low	1.0	0.0
rxn12510_c	0.16969963	high	0.0	0.0
rxn03933_c	0.0			
rxn05342_c	44.710096	high	1.0	0.0
rxn05072_c	0.0	high	0.0	0.0
rxn00307_c	0.0	high	0.0	0.0
rxn00414_c	20.735677	high	1.0	0.0
rxn08123_c	0.0	low	1.0	0.0
rxn09110_c	0.0	moderate		
rxn05349_c	0.0	low	1.0	0.0
rxn00303_c	0.0	high	0.0	0.0
rxn00799_c	241.16041			
rxn07439_c	0.0	low	1.0	0.0
rxn01073_c	0.0	low	1.0	0.0
rxn02405_c	3.4023162	moderate		
rxn00011_c	-1000.0	high	0.0	1.0
rxn07430_c	1.0	high	1.0	0.0
rxn02200_c	0.25454945	low	0.0	0.0
rxn00602_c	0.0	low	1.0	0.0
rxn01069_c	10.803274	moderate		
rxn05528_c	0.0	low	1.0	0.0
rxn00791_c	-2.415922	moderate		
rxn03150_c	0.084849817	low	0.0	0.0
rxn05108_c	0.0	low	1.0	0.0
rxn00065_c	0.0	low	1.0	0.0
rxn00365_c	-1000.0	moderate		
rxn08783_c	0.0	low	1.0	0.0
