"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_name","GeneID","orgdb_symbol","orgdb_old_MXAN","orgdb_Name","iMat"
"1168","WP_011551627.1",2274.01210394783,0.632382526552418,0.265611653209654,2.38085384775367,0.0172725633386039,0.0536391320262818,"MXAN_RS07365",41358962,"MXAN_RS07365","MXAN_1516","ATPase AAA",0
"1169","WP_011551628.1",140.379584227054,0.0161132687700935,0.359039072441141,0.0448788725431407,0.964203857142055,0.978258065307111,"MXAN_RS07370",41358963,"MXAN_RS07370","MXAN_1517","hypothetical protein",0
"1170","WP_011551629.1",298.511054890558,0.354481073790433,0.302439764074616,1.17207165160656,0.24116829026418,0.381167589039097,"MXAN_RS07375",41358964,"MXAN_RS07375","MXAN_1518","hypothetical protein",0
"1171","WP_011551631.1",604.147071126046,0.691616707866685,0.290329427375915,2.38217914772789,0.0172105225106828,0.0535191015587955,"MXAN_RS07385",41358966,"MXAN_RS07385","MXAN_1520","KR domain-containing protein",0
"1172","WP_011551632.1",42.6003833032418,1.98118064889208,0.928162488708553,2.13451919571615,0.0328003040378481,0.0878456646423672,"MXAN_RS07390",41358967,"MXAN_RS07390","MXAN_1521","RtcB family protein",1
"1173","WP_011551633.1",443.115023644876,0.0129667146587445,0.372351749775171,0.0348238316768322,0.97222021722414,0.98248563086839,"MXAN_RS07395",41358968,"MXAN_RS07395","MXAN_1522","hypothetical protein",0
"1174","WP_011551634.1",156.086559366405,-1.69545611605251,0.424521502619237,-3.99380503835916,6.50213341472585e-05,0.000532848209795393,"MXAN_RS07400",41358969,"MXAN_RS07400","MXAN_1523","GNAT family N-acetyltransferase",-1
"1175","WP_011551635.1",1525.08013063678,-0.586960958685875,0.370338630069547,-1.58493041510589,0.112982145156149,0.220554204929079,"MXAN_RS07405",41358970,"glgC","MXAN_1524","glucose-1-phosphate adenylyltransferase",0
"1176","WP_011551638.1",895.58553616743,-0.309031409196836,0.345766916983969,-0.893756441166879,0.371452219638359,0.517477975930073,"MXAN_RS07415",41358972,"MXAN_RS07415","MXAN_1527","NAD-dependent epimerase",0
"1177","WP_011551639.1",4178.82418471507,0.124560481440815,0.320889186540804,0.388172885423721,0.697888097341082,0.795426212169599,"MXAN_RS07420",41358973,"MXAN_RS07420","MXAN_1528","AMP-dependent synthetase",0
"1178","WP_011551640.1",2904.11646205748,0.63507143052899,0.312303968783874,2.03350419465365,0.0420016102185611,0.106307238099688,"MXAN_RS07425",41358974,"MXAN_RS07425","MXAN_1529","DUF2088 domain-containing protein",0
"1179","WP_011551641.1",877.420189358388,0.246931132281081,0.332316228087129,0.743060709681439,0.457444925780252,0.598946035255884,"MXAN_RS07430",41358975,"MXAN_RS07430","MXAN_1530","HAD-IB family hydrolase",0
"1180","WP_011551642.1",235.451268005828,0.023503099287095,0.329400417253665,0.0713511521419709,0.943118285410907,0.964820086812138,"MXAN_RS07435",41358976,"MXAN_RS07435","MXAN_1531","NAD-dependent epimerase",0
"1181","WP_011551643.1",14291.1792130993,-0.851041678023246,0.317755440045668,-2.67829144923824,0.007399879812827,0.0277520926602998,"MXAN_RS07440",41358977,"MXAN_RS07440","MXAN_1532","hypothetical protein",-1
"1182","WP_011551645.1",1841.61570690004,0.219821171779478,0.245133852376215,0.896739351373269,0.369858017189424,0.516033933276437,"MXAN_RS07450",41358979,"glgX","MXAN_1534","glycogen debranching enzyme GlgX",0
"1183","WP_011551646.1",622.899514580312,0.789239390055538,0.330008126104085,2.39157562382755,0.0167762274722021,0.0524047976024227,"MXAN_RS07455",41358980,"MXAN_RS07455","MXAN_1535","TerC family protein",0
"1184","WP_011551647.1",443.006928441689,0.649089144927523,0.323650213218188,2.00552670265025,0.0449067690030337,0.111836843223674,"MXAN_RS07460",41358981,"MXAN_RS07460","MXAN_1536","Co2+/Mg2+ efflux protein ApaG",0
"1185","WP_011551648.1",397.38806692045,0.282741099583002,0.298528612689038,0.947115578088721,0.343579887490545,0.490548649140922,"MXAN_RS07465",41358982,"MXAN_RS07465","MXAN_1537","ferrochelatase",0
"1186","WP_011551649.1",332.816289081095,-0.868277768314873,0.296397472593133,-2.92943715315266,0.00339576474419765,0.0147915390975133,"MXAN_RS07470",41358983,"MXAN_RS07470","MXAN_1539","hypothetical protein",-1
"1187","WP_011551651.1",28.2177892473864,0.845756832124188,0.774530375365877,1.09196083074814,0.274850318055896,0.418377190572825,"MXAN_RS07475",41358984,"MXAN_RS07475","MXAN_1540","hypothetical protein",0
"1188","WP_011551652.1",1609.68250086391,1.49348948402788,0.25967808515832,5.7513112171839,8.85539276570084e-09,1.84135325823382e-07,"MXAN_RS07480",41358985,"MXAN_RS07480","MXAN_1541","ATP-dependent helicase",1
"1189","WP_011551653.1",335.634462869618,1.30790943997011,0.326953693746443,4.00028953636602,6.32650310921904e-05,0.000520237863074325,"MXAN_RS07490",41358987,"MXAN_RS07490","MXAN_1542","HEAT repeat domain-containing protein",1
"1190","WP_011551654.1",90.8679276650691,0.923722229882198,0.424785041924912,2.17456392931435,0.0296628098346063,0.08140438971337,"MXAN_RS36585",41364686,"MXAN_RS36585","MXAN_1543","hypothetical protein",0
"1191","WP_011551655.1",40.5117863489599,0.318029655426938,0.572924200767036,0.555099007863793,0.578826941366239,0.704716687801193,"MXAN_RS07495",41358988,"MXAN_RS07495","MXAN_1544","DUF2380 domain-containing protein",0
"1192","WP_011551657.1",152.53919440342,-0.179006943565946,0.404593676776743,-0.442436335120293,0.658173490658125,0.768463829909376,"MXAN_RS07505",41358990,"MXAN_RS07505","MXAN_1546","TIGR01777 family protein",0
"1193","WP_011551658.1",610.101069326139,0.629711137853037,0.27326388843571,2.30440670905254,0.0211998237501644,0.0626987062070314,"MXAN_RS07510",41358991,"MXAN_RS07510","MXAN_1547","ABC transporter ATP-binding protein",0
"1194","WP_011551659.1",177.989275776352,1.09450169150487,0.338348485192189,3.23483550069146,0.00121712831892961,0.00635396306495756,"MXAN_RS07515",41358992,"MXAN_RS07515","MXAN_1548","membrane protein",0
"1195","WP_011551660.1",682.4526891936,0.889236401857737,0.307182288944557,2.89481664100183,0.00379380066992574,0.0162077373939605,"MXAN_RS07520",41358993,"MXAN_RS07520","MXAN_1549","ABC transporter",0
"1196","WP_011551661.1",199.054802482677,-0.297141445702333,0.367434497611498,-0.808692291099221,0.418692163456748,0.562418654655059,"MXAN_RS07525",41358994,"MXAN_RS07525","MXAN_1550","hypothetical protein",0
"1197","WP_011551663.1",382.577420147985,0.526907416867489,0.354926740759231,1.48455260299737,0.137662378832411,0.25384839511216,"MXAN_RS07535",41358996,"MXAN_RS07535","MXAN_1552","response regulator",0
"1198","WP_011551664.1",1136.01127115488,-0.479622225830691,0.393794466550283,-1.21795064829701,0.223242727531096,0.359831877021731,"MXAN_RS07540",41358997,"MXAN_RS07540","MXAN_1553","two-component sensor histidine kinase",0
"1199","WP_011551665.1",81.6040435489547,0.835365182710692,0.893831778077456,0.93458881547877,0.350000245193168,0.496163500347962,"MXAN_RS07550",41358999,"MXAN_RS07550","MXAN_1554","FAD-dependent oxidoreductase",0
"1200","WP_011551666.1",103.547737590823,0.423216998284063,0.505809244504003,0.836712659728214,0.402754101371653,0.547411935414608,"MXAN_RS07555",41359000,"MXAN_RS07555","MXAN_1555","hemerythrin",0
"1201","WP_011551667.1",379.138497682555,-0.171589341252419,0.297574220136129,-0.576627038370204,0.564191429865552,0.691663964277445,"MXAN_RS07560",41359001,"MXAN_RS07560","MXAN_1556","DNA-3-methyladenine glycosylase 2 family protein",0
"1202","WP_011551668.1",122.995256077794,-0.332069848820034,0.527008632241067,-0.630103244054904,0.52862703735817,0.662147004753632,"MXAN_RS07565",41359002,"MXAN_RS07565","MXAN_1557","MFS transporter",0
"1203","WP_011551670.1",145.672050222058,0.20959292598094,0.447190111375297,0.468688641920891,0.639292206712254,0.754989305304908,"MXAN_RS07575",41359004,"MXAN_RS07575","MXAN_1559","methyltransferase domain-containing protein",0
"1204","WP_011551671.1",625.310261429207,0.0503206515656578,0.287452248353232,0.175057429030166,0.861034508375605,0.911146928319456,"MXAN_RS07580",41359005,"MXAN_RS07580","MXAN_1560","pyridoxal phosphate-dependent aminotransferase",0
"1205","WP_011551672.1",525.976166631332,1.03700911376117,0.399235465197595,2.59748745830463,0.00939085495802431,0.0334258168986289,"MXAN_RS07585",41359006,"MXAN_RS07585","MXAN_1561","hypothetical protein",0
"1206","WP_011551673.1",2184.08109075059,2.00449319057227,0.348713383398688,5.7482542569366,9.01695771827608e-09,1.86594161070992e-07,"MXAN_RS07590",41359007,"MXAN_RS07590","MXAN_1562","DNA starvation/stationary phase protection protein Dps",1
