reaction_id	flux_value	classification	y_f	y_r
rxn08128_c	0.0	low	1.0	0.0
rxn05188_c	0.0	low	1.0	0.0
rxn01670_c	0.0	low	1.0	0.0
rxn12643_c	0.0	moderate		
rxn05183_c	0.0	high	0.0	0.0
rxn01706_c	0.0	low	1.0	0.0
rxn03055_c	0.0	low	1.0	0.0
rxn09359_c	0.0	low	1.0	0.0
rxn11703_c	0.0	high	0.0	0.0
rxn01300_c	0.0	low	1.0	0.0
rxn00601_c	0.0	moderate		
rxn00411_c	1.0	low	0.0	0.0
rxn00321_c	0.0	moderate		
rxn00786_c	-0.5	moderate		
rxn09197_c	0.0	low	1.0	0.0
rxn00740_c	0.0	low	1.0	0.0
rxn01100_c	1.0	high	1.0	0.0
rxn00838_c	0.0	low	1.0	0.0
rxn00102_c	0.0	low	1.0	0.0
rxn00831_c	0.0	low	1.0	0.0
rxn12634_c	0.0	moderate		
rxn00883_c	0.0	low	1.0	0.0
rxn01255_c	0.0	moderate		
rxn10014_c	0.0	moderate		
rxn05406_c	0.0	moderate		
rxn10299_c	0.0	high	0.0	0.0
OF_PROTEIN	0.0	low	1.0	0.0
rxn00776_c	0.0	moderate		
rxn05251_c	0.0	low	1.0	0.0
rxn03126_c	0.0	low	1.0	0.0
rxn05485_c	0.0	moderate		
rxn00214_c	0.0	low	1.0	0.0
rxn01211_c	0.0	low	1.0	0.0
rxn00527_c	0.0	low	1.0	0.0
rxn05322_c	0.0	low	1.0	0.0
rxn05193_c	0.0	high	0.0	0.0
rxn12848_c	3.2857143	low	0.0	0.0
rxn05151_c	0.0	moderate		
rxn00792_c	0.0	moderate		
rxn08804_c	0.0	low	1.0	0.0
rxn08442_c	0.0	moderate		
rxn05430_c	0.0	low	1.0	0.0
rxn01917_c	1.0	high	1.0	0.0
rxn10236_c	0.0	low	1.0	0.0
rxn08527_c	-1.0	high	0.0	1.0
rxn05501_c	0.0	moderate		
rxn03253_c	237.14286	moderate		
rxn01509_c	1.0	moderate		
rxn02011_c	0.0	high	0.0	0.0
rxn01548_c	0.0	moderate		
rxn08528_c	1.0	high	1.0	0.0
rxn01145_c	0.0	low	1.0	0.0
rxn09176_c	0.0	low	1.0	0.0
rxn09205_c	0.0	low	1.0	0.0
rxn03269_c	0.0	low	1.0	0.0
rxn03916_c	0.0	moderate		
rxn05364_c	0.0	low	1.0	0.0
rxn09201_c	0.0	low	1.0	0.0
rxn01669_c	2.0	low	0.0	0.0
rxn00508_c	0.0	moderate		
rxn10122_c	0.0	low	1.0	0.0
rxn00187_c	4.0	moderate		
rxn00728_c	0.0	moderate		
rxn08850_c	0.0	low	1.0	0.0
rxn00500_c	-256.0	high	0.0	1.0
rxn05734_c	0.0	low	1.0	0.0
rxn00772_c	0.0	low	1.0	0.0
rxn08812_c	0.0	low	1.0	0.0
rxn00006_c	-1.0	high	0.0	1.0
rxn02503_c	0.0	low	1.0	0.0
rxn05338_c	0.0	low	1.0	0.0
rxn03135_c	0.0	low	1.0	0.0
rxn08310_c	0.0	low	1.0	0.0
rxn00915_c	0.0	moderate		
rxn02853_c	0.0	low	1.0	0.0
rxn01967_c	0.0	moderate		
rxn01515_c	0.0	low	1.0	0.0
rxn01927_c	0.0	low	1.0	0.0
rxn10224_c	0.0	low	1.0	0.0
rxn05337_c	0.0	low	1.0	0.0
rxn00994_c	0.0	moderate		
rxn01653_c	0.0	low	1.0	0.0
rxn00474_c	0.0	low	1.0	0.0
rxn03147_c	0.0	moderate		
rxn08073_c	0.0	low	1.0	0.0
rxn03843_c	0.0	low	1.0	0.0
rxn05376_c	0.0	low	1.0	0.0
rxn01802_c	0.0	low	1.0	0.0
rxn02317_c	0.0	low	1.0	0.0
rxn01116_c	0.0			
rxn02811_c	0.0	moderate		
rxn03062_c	0.0	moderate		
rxn10258_c	0.0	moderate		
rxn00829_c	0.0	moderate		
rxn08847_c	0.0	low	1.0	0.0
rxn05608_c	0.0	low	1.0	0.0
rxn01544_c	0.0	low	1.0	0.0
rxn00863_c	0.0	low	1.0	0.0
rxn09113_c	0.0	low	1.0	0.0
rxn00711_c	0.0	low	1.0	0.0
rxn08299_c	0.0	moderate		
rxn08711_c	0.0	low	1.0	0.0
rxn01138_c	0.0	moderate		
rxn02402_c	0.0	low	1.0	0.0
rxn01607_c	0.0	moderate		
rxn05465_c	0.0	low	1.0	0.0
rxn12845_c	0.0	moderate		
rxn08820_c	0.0	low	1.0	0.0
rxn05148_c	0.0	low	1.0	0.0
rxn05380_c	0.0	low	1.0	0.0
rxn05347_c	0.0	moderate		
rxn06077_c	2.0	high	1.0	0.0
rxn08126_c	0.0	low	1.0	0.0
rxn02344_c	0.0	moderate		
rxn03407_c	0.0	moderate		
rxn08547_c	0.0	low	1.0	0.0
rxn05732_c	0.0	moderate		
rxn01303_c	0.0	low	1.0	0.0
rxn00113_c	0.0	high	0.0	0.0
rxn05023_c	0.0	high	0.0	0.0
rxn00297_c	0.0	moderate		
rxn00137_c	1.0	low	0.0	0.0
rxn00745_c	0.0	low	1.0	0.0
rxn06023_c	0.0	moderate		
rxn00611_c	0.0	low	1.0	0.0
rxn07435_c	0.0	low	1.0	0.0
rxn01678_c	1.0	high	1.0	0.0
rxn02286_c	0.0	moderate		
